Ticker,w_MV_allow,w_CVaR_allow,w_MV_long,w_CVaR_long
NXPI,-0.003909748836323483,-0.012843058799793035,1.7073064219636706e-19,0.0
ORLY,-0.037997831173568655,0.006830774957881043,0.011806424394835499,0.0
OXY,0.01663373982810991,0.05404731543774797,6.593634948595062e-20,0.0
ODFL,0.007439873773607109,-0.012530123817355602,4.890025634427349e-20,0.0
OMC,0.021390920534190228,-0.04340806745425934,0.0,0.0
ON,-0.00869796373475726,-0.029679691163343118,4.540823120650491e-20,0.0
OKE,-0.08684605556855435,-0.15244044980735919,4.1575512271911216e-20,0.0
ORCL,0.011514347866507282,0.02635018233965034,4.1073545289230386e-19,0.0
OTIS,-0.029316854493304664,-0.017383889568425466,0.0,0.0
PCAR,0.007188178183178328,-0.03249948985127887,0.0,0.0
PKG,0.03642424416346863,0.07545173038614893,0.0,0.0
PLTR,-0.02173753354284607,-0.022398229614126238,1.9236915396847467e-20,0.0
PANW,0.008809778340766738,0.003640474737531994,2.881504991400174e-19,0.0
PSKY,0.007447265017402274,-0.022201151416161014,1.1701194314124074e-20,0.0
PH,-0.035214407502619956,-0.014203821744095636,2.915407272294221e-20,0.0
PAYX,-0.062874415811813,-0.027413493908807603,0.0,0.0
PAYC,0.02873536738446271,0.06620790491218025,0.0,0.0
PYPL,0.0009088179471142108,-0.018012964816137882,1.0196657658341268e-19,0.0
PNR,0.07689265346684859,0.10339526133111146,3.535120912213092e-21,0.0
PEP,0.04429262047751775,0.11291590271200329,7.242825772812278e-19,0.008312162032960205
PFE,-0.06399164085383688,-0.07202443903703316,1.983487622557375e-19,0.0
PCG,0.01797137585929742,-0.023413921471476997,0.0,0.0
PM,-0.03168516490544976,-0.032018024669848384,0.0,0.0
PSX,0.007671380875370569,0.028607196585945575,0.0,0.0
PNW,0.027439389100639266,0.043922263048176334,0.0,0.0
PNC,0.061522988121715666,0.02670336829986387,0.0,0.0
POOL,0.011828856515329481,-0.03801531230173771,0.0,0.0
PPG,-0.028818810563242477,0.01256526111437545,0.0,0.0
PPL,0.030293145060263205,-0.0008544760249624303,1.609163464890429e-19,0.0
PFG,0.04980011298006505,0.07689457209817456,0.0,0.0
PG,-0.05227107088764676,-0.04798968954174792,0.0,0.025407246804662973
PGR,0.020829206172228134,0.016659878585532938,4.441462509752552e-19,0.0
PLD,-0.042863839609373074,-0.02382740754833547,0.0,0.0
PRU,-0.029359562221445635,-0.07118555810800584,2.1464812489223494e-20,0.0
PEG,0.006973885491158258,-0.0070784684201509645,4.367257437876893e-19,0.0
PTC,0.02212298346622599,0.012948939399626203,0.0,0.0
PSA,-0.0015094625520899083,-0.10166077128071885,6.146081402386968e-20,0.0
PHM,0.01366740334605409,-0.006163207979742855,0.0,0.0
PWR,-0.016283750820679455,0.005724918930415007,1.4231628471587628e-20,0.0
QCOM,0.0003925783032453316,-0.01487733857265539,0.0,0.0
DGX,0.03958289456615611,0.0962444430912814,0.0,0.0
RL,0.030417507323553857,0.023510287549279366,3.547672589233573e-20,0.0
RJF,0.038373025247220596,0.030003524313654606,5.071489210126878e-21,0.0
RTX,0.030166002813555578,0.05262488652489005,0.0,0.0
O,0.03964861280823547,-0.03665035773899729,1.3634294813058487e-19,0.0
REG,0.030811835746374465,-0.01470319264109577,0.0,0.0
REGN,-0.0054984930626582555,-0.016384786961066967,0.00031420711637256295,0.0
RF,0.0800961948605106,0.10100415311523767,0.0,0.0
